Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
0,,454911.486,4399925.372,2420.991,Start of line,-105.52628725,39.74804206,2420.991,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:41:21.8 UTC-07:00,2026-02-20 09:41:21.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,16.689,,WGS 84 / UTM zone 13N,9,7,8,6,0
2,,454913.313,4399925.300,2420.775,,-105.52626591,39.74804151,2420.775,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:42:09.6 UTC-07:00,2026-02-20 09:42:09.6 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,14.969,,WGS 84 / UTM zone 13N,9,7,9,5,0
4,,454915.333,4399925.215,2420.524,,-105.52624233,39.74804085,2420.524,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:42:38.8 UTC-07:00,2026-02-20 09:42:38.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,13.109,,WGS 84 / UTM zone 13N,9,7,9,5,0
6,,454917.294,4399925.147,2420.264,,-105.52621944,39.74804034,2420.264,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:43:08.6 UTC-07:00,2026-02-20 09:43:08.6 UTC-07:00,1,1.2,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,11.358,,WGS 84 / UTM zone 13N,9,7,9,5,0
8,,454919.266,4399925.073,2419.970,,-105.52619641,39.74803978,2419.970,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:43:47.6 UTC-07:00,2026-02-20 09:43:47.6 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,9.691,,WGS 84 / UTM zone 13N,9,7,9,5,0
10,,454921.206,4399924.908,2419.618,,-105.52617376,39.74803839,2419.618,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:44:32.2 UTC-07:00,2026-02-20 09:44:32.2 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,8.267,,WGS 84 / UTM zone 13N,9,7,9,5,0
12,,454923.188,4399924.958,2419.583,,-105.52615063,39.74803895,2419.583,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:45:10.6 UTC-07:00,2026-02-20 09:45:10.6 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,6.850,,WGS 84 / UTM zone 13N,9,7,8,5,0
14,,454925.199,4399924.843,2419.240,,-105.52612716,39.74803802,2419.240,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:46:03.8 UTC-07:00,2026-02-20 09:46:03.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,6.000,,WGS 84 / UTM zone 13N,9,7,8,5,0
16,,454927.134,4399924.781,2418.752,,-105.52610456,39.74803756,2418.752,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:47:05.0 UTC-07:00,2026-02-20 09:47:05.0 UTC-07:00,1,1.2,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,5.798,,WGS 84 / UTM zone 13N,9,7,8,5,0
18,,454929.063,4399924.693,2418.330,,-105.52608204,39.74803687,2418.330,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:47:40.8 UTC-07:00,2026-02-20 09:47:40.8 UTC-07:00,1,1.2,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,6.252,,WGS 84 / UTM zone 13N,9,7,8,5,0
20,,454931.046,4399924.615,2417.956,,-105.52605889,39.74803627,2417.956,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:48:32.8 UTC-07:00,2026-02-20 09:48:32.8 UTC-07:00,1,1.2,1.4,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,7.235,,WGS 84 / UTM zone 13N,9,7,9,5,0
22,,454932.985,4399924.512,2417.571,,-105.52603625,39.74803544,2417.571,Global,0.010,0.010,0.012,0.014,2.134,m,FIX,RTK,2026-02-20 09:49:33.8 UTC-07:00,2026-02-20 09:49:33.8 UTC-07:00,1,1.2,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,8.582,,WGS 84 / UTM zone 13N,9,7,8,5,0
24,,454934.897,4399924.421,2417.129,,-105.52601393,39.74803473,2417.129,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,RTK,2026-02-20 09:50:04.8 UTC-07:00,2026-02-20 09:50:04.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,10.135,,WGS 84 / UTM zone 13N,9,7,9,5,0
26,,454936.881,4399924.311,2416.719,,-105.52599077,39.74803384,2416.719,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:50:48.0 UTC-07:00,2026-02-20 09:50:48.0 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,11.865,,WGS 84 / UTM zone 13N,9,7,9,5,0
