STN_ID,TIME,GRAV (mGal),S.D,,,,,,,
,,,,,,,,,,
50,10:14:14,3505.892,0.015,,,,,,,
50,10:46:30,3505.788,0.028,,,,,,,
48,10:50:33,3505.918,0.02,,,,,,,
46,10:54:59,3505.867,0.014,,,,,,,
44,10:59:09,3505.789,0.016,,,,,,,
42,11:03:33,3505.741,0.012,,,,,,,
40,11:07:00,3505.665,0.015,,,,,,,
50,11:11:53,3506.367,0.018,,,,,,,
38,11:15:56,3505.601,0.017,,,,,,,
36,11:21:54,3505.539,0.016,,,,,,,
34,11:25:11,3505.476,0.015,,,,,,,
32,11:28:37,3505.412,0.028,,,,,,,
30,11:32:16,3505.353,0.012,,,,,,,
50,11:35:41,3506.007,0.015,,,,,,,
52,11:39:43,3506.065,0.02,,,,,,,
54,11:43:05,3506.128,0.013,,,,,,,
56,11:47:03,3506.209,0.025,,,,,,,
58,11:50:12,3506.279,0.016,,,,,,,
60,11:55:03,3506.308,0.017,,,,,,,
50,11:58:21,3506.015,0.013,,,,,,,
62,12:01:42,3506.365,0.028,,,,,,,
62,12:04:16,3506.38,0.013,,,,,,,
64,12:08:34,3506.444,0.013,,,,,,,
66,12:11:13,3506.492,0.012,,,,,,,
68,12:14:31,3506.558,0.016,,,,,,,
70,12:17:55,3506.611,0.019,,,,,,,
50,12:21:22,3506.022,0.019,,,,,,,
76,12:27:12,3506.781,0.016,,,,,,,
82,12:32:23,3507.002,0.025,,,,,,,
88,12:35:40,3507.208,0.017,,,,,,,
94,12:39:10,3507.363,0.011,,,,,,,
100,12:42:00,3507.538,0.015,,,,,,,
50,12:48:01,3506.042,0.017,,,,,,,
24,12:51:48,3505.108,0.015,,,,,,,
18,12:54:36,3504.984,0.019,,,,,,,
12,12:57:42,3504.765,0.015,,,,,,,
6,13:02:17,3504.635,0.029,,,,,,,
0,13:06:17,3504.488,0.022,,,,,,,
50,13:10:32,3506.037,0.023,,,,,,,
,,,,,,,,,,
